Test ID,Requirement ID,Business Requirement,Module,Priority,Automation Status,Automated Test Reference,Platform,Result,Tester,Date,OS Tested,Build Version,Defect ID,Notes
INS-01,REQ-INST-01,App installs on Windows with shortcuts,Installation,P0,Manual,,Win,,,,,,,
INS-02,REQ-INST-02,App installs on macOS from DMG,Installation,P0,Manual,,Mac,,,,,,,
INS-03,REQ-INST-03,SQLite DB initialized in userData on first run,Installation,P0,Manual,,"Win, Mac",,,,,,,
INS-04,REQ-INST-04,Seeded default data available after install,Installation,P0,Manual,prisma/seed.ts (data only),"Win, Mac",,,,,,,
INS-05,REQ-INST-05,Window size constraints enforced,Installation,P1,Manual,,"Win, Mac",,,,,,,
INS-06,REQ-INST-06,App runs fully offline,Installation,P0,Manual,,"Win, Mac",,,,,,,
INS-07,REQ-INST-07,App upgrade preserves user data,Installation,P0,Manual,,"Win, Mac",,,,,,,
INS-08,REQ-INST-08,Uninstall/reinstall behavior documented,Installation,P2,Manual,,"Win, Mac",,,,,,,
AUTH-01,REQ-AUTH-01,Valid credentials grant access,Authentication,P0,Automated,tests/e2e/auth/login.spec.ts,"Web, Desktop",,,,,,,
AUTH-02,REQ-AUTH-02,Invalid credentials rejected,Authentication,P0,Automated,tests/e2e/auth/login.spec.ts,"Web, Desktop",,,,,,,
AUTH-03,REQ-AUTH-03,Required fields validated on login,Authentication,P0,Automated,tests/e2e/auth/login.spec.ts,"Web, Desktop",,,,,,,
AUTH-04,REQ-AUTH-04,Session behavior on app restart,Authentication,P1,Manual,,Desktop,,,,,,,
AUTH-05,REQ-AUTH-05,Logout clears session,Authentication,P0,Automated,tests/e2e/auth/login.spec.ts,"Web, Desktop",,,,,,,
AUTH-06,REQ-AUTH-06,Protected routes require login,Authentication,P0,Automated,tests/e2e/auth/login.spec.ts,"Web, Desktop",,,,,,,
AUTH-07,REQ-RBAC-01,Viewer cannot access admin,Authorization,P0,Automated,tests/e2e/admin/user-management.spec.ts,"Web, Desktop",,,,,,,
AUTH-08,REQ-RBAC-02,Viewer cannot access backup,Authorization,P0,Manual,,Desktop,,,,,,,
AUTH-09,REQ-RBAC-03,Admin can access backup in Electron,Authorization,P0,Manual,,Desktop,,,,,,,
AUTH-10,REQ-AUTH-07,Inactive users cannot login,Authentication,P1,Partial,src/app/api/auth/login/__tests__/route.test.ts,"Web, Desktop",,,,,,,
DASH-01,REQ-DASH-01,Dashboard displays key statistics,Dashboard,P1,Automated,tests/e2e/reports/report-generate.spec.ts,"Web, Desktop",,,,,,,
DASH-02,REQ-DASH-02,Charts render without errors,Dashboard,P1,Manual,,"Web, Desktop",,,,,,,
DASH-03,REQ-DASH-03,Dashboard refreshes on tab focus,Dashboard,P2,Automated,tests/e2e/reports/report-generate.spec.ts,"Web, Desktop",,,,,,,
DASH-04,REQ-DASH-04,Empty state handled gracefully,Dashboard,P2,Partial,src/app/api/dashboard/__tests__/route.test.ts,"Web, Desktop",,,,,,,
DASH-05,REQ-UI-01,Dark mode readable on dashboard,UI/UX,P2,Partial,src/contexts/__tests__/DarkModeContext.test.tsx,"Web, Desktop",,,,,,,
PRC-01,REQ-PRICE-01,Set daily price per product type,Pricing,P0,Automated,tests/e2e/prices/price-management.spec.ts,"Web, Desktop",,,,,,,
PRC-02,REQ-PRICE-02,Prevent or handle duplicate daily price,Pricing,P1,Partial,src/app/api/prices/daily/__tests__/route.test.ts,"Web, Desktop",,,,,,,
PRC-03,REQ-PRICE-03,View historical prices,Pricing,P1,Automated,tests/e2e/prices/price-management.spec.ts,"Web, Desktop",,,,,,,
PRC-04,REQ-PRICE-04,DRC % adjusts purchase price,Pricing,P0,Partial,src/lib/__tests__/utils.test.ts,"Web, Desktop",,,,,,,
PUR-01,REQ-PUR-01,Calculate dry weight from DRC %,Purchases,P0,Partial,src/lib/__tests__/utils.test.ts,"Web, Desktop",,,,,,,
PUR-02,REQ-PUR-02,Calculate net weight from gross minus container,Purchases,P0,Partial,src/lib/__tests__/utils.test.ts,"Web, Desktop",,,,,,,
PUR-03,REQ-PUR-03,Apply daily price to purchase,Purchases,P0,Partial,src/app/api/purchases/__tests__/route.test.ts,"Web, Desktop",,,,,,,
PUR-04,REQ-PUR-04,Apply DRC-based price adjustment,Purchases,P0,Partial,src/app/api/purchases/__tests__/route.test.ts,"Web, Desktop",,,,,,,
PUR-05,REQ-PUR-05,Apply bonus price,Purchases,P1,Partial,src/app/api/purchases/__tests__/route.test.ts,"Web, Desktop",,,,,,,
PUR-06,REQ-PUR-06,Split payment between owner and tapper,Purchases,P0,Partial,src/lib/__tests__/memberUtils.test.ts,"Web, Desktop",,,,,,,
